feature,importance
level__p95__day_max,11.407236093366137
cppall__range__day_median,6.232659868362697
IBIF_hrf__mad__day_median,2.726682397195536
IBIF_cq__p25__day_max,2.3438035992190263
level__range__day_min,1.7754219022287618
level__std__day_median,1.6826108358614154
IBIF_mfdr__kurt__day_median,1.1759713341410944
level__p75__day_min,1.1243318941047031
LHratioall__skew__day_max,1.0575728202434571
IBIF_acflow__std__day_std,1.047391841653487
spectralTiltall__skew__day_median,1.018060462722054
IBIF_hrf__p05__day_min,0.9896766348981467
dBcms2__skew__day_max,0.9291785699842885
cppall__range__day_mean,0.830239148889819
cppall__iqr__day_std,0.794950601799669
level__p25__day_max,0.7707438655162571
dBcms2__mean__day_max,0.7328083903328617
dBcms2__mean__day_median,0.6876324313028757
IBIF_h1h2__range__day_median,0.676200464669971
H1H2all__median__slope,0.6650668410113749
IBIF_h1h2__range__day_mean,0.6488406386155771
dBcms2__std__day_std,0.5973858472917656
IBIF_naq__p75__day_std,0.5829922169423809
h1h2_cpp_ratio__day_mean,0.5823864120395059
IBIF_mfdr__std__day_median,0.5777830079532504
IBIF_sq__kurt__day_max,0.5408033642866743
dBcms2__p95__day_max,0.5218324175347668
level__median__day_min,0.5146090656584341
LHratioall__median__day_std,0.5142676704082001
IBIF_sq__p95__day_median,0.5042418263744564
level__p75__day_median,0.46639564614842743
h1h2_skew__day_std,0.4661564773063539
IBIF_hrf__range__day_median,0.4429093176743756
IBIF_cq__range__day_mean,0.437520264520356
level__mean__day_median,0.40156863934205445
cppall__p75__day_min,0.3928102346923923
cppall__p05__day_min,0.3834249803680127
cppall__p95__day_max,0.3776327966169702
cppall__p05__day_median,0.3692099856578113
IBIF_cq__p75__day_std,0.3581920986229211
IBIF_acflow__range__day_min,0.3546090243588021
voiced_frames__mean,0.34193793736067885
IBIF_naq__skew__day_std,0.3311945018299678
level__p75__day_max,0.3254961915089254
IBIF_h1h2__range__day_max,0.31756430083568504
H1H2all__p05__day_max,0.30848925305193603
IBIF_hrf__range__day_mean,0.3070993479428385
LHratioall__p05__day_min,0.30611345971117976
IBIF_acflow__entropy__day_median,0.2859331786989006
IBIF_mfdr__range__day_mean,0.2822766468735722
dBcms2__skew__day_min,0.2753464566889504
level__range__day_max,0.27121389913696875
level__skew__day_min,0.26922374955561834
H1H2all__range__day_max,0.2689261362460419
spectralTiltall__skew__day_mean,0.26085478492246816
cpp_low_rate__day_median,0.2584273644649449
level__p75__day_mean,0.2574287505145302
cppall__p75__day_max,0.2540418429824305
dBcms2__skew__day_median,0.24547574912260375
cppall__iqr__day_max,0.24468348839719192
level__p95__day_min,0.24218236154385772
cppall__p25__day_max,0.2375337466747629
spectralTiltall__std__day_max,0.23496049435251004
IBIF_hrf__range__day_max,0.23377268232305867
level__range__day_median,0.22719772918795694
IBIF_cq__p95__day_std,0.22718356225651823
IBIF_oq__p25__day_std,0.22334080558920144
cppall__std__day_max,0.21807612284953878
IBIF_sq__kurt__day_median,0.2113297204958582
IBIF_naq__p05__day_mean,0.2100659721652352
lh_cv__day_mean,0.2098588245626069
level__range__day_mean,0.207818724424703
dBcms2__p95__day_median,0.20626732424310604
level__mean__day_mean,0.2060198741204687
level__mad__day_max,0.19260542062229566
H1H2all__entropy__day_max,0.18367654619816048
level__p95__day_std,0.18336031690331103
IBIF_naq__range__day_mean,0.180704878640075
cppall__p75__day_median,0.1797234292020836
H1H2all__p05__day_min,0.1737851218851989
cppall__mad__day_std,0.17366630465079047
cppall__median__day_mean,0.171895501677611
level__p95__day_mean,0.1718529474722487
IBIF_sq__skew__day_max,0.16093971426153142
h1h2_cpp_ratio__day_min,0.1602315428010251
level__skew__day_median,0.15775568119440705
IBIF_mfdr__range__day_max,0.15557462267129032
cppall__mad__day_max,0.15446524039670775
lh_cv__day_median,0.15419879135640296
H1H2all__range__day_mean,0.1538077697218722
h1h2_cpp_ratio__day_max,0.15256079102954037
level__mean__day_min,0.15201475639948914
IBIF_mfdr__mad__day_max,0.15157067151307885
